created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jan 11 01:19:43 +0000 2024;1745254124156010884;"Pemerintah terus konsisten membangun IKN #ikn #ibukotabaru #jakarta #indonesia #jokowi #fyp https://t.co/GcG6nVSHbT";0;0;0;0;in;1630030373915852800;1745254124156010884;agara_dika;https://twitter.com/agara_dika/status/1745254124156010884
Wed Jan 10 23:37:47 +0000 2024;1745228474250383712;"~Series : Sepucuk Surat Dari Republik Tiongkok Nusantara. Dimulai di X dari 12 Januari 2024. https://t.co/r5IG26JoMN #IKN #Nusantara #jokowi #fnn #kompas #tempo #AniesMuhaimin2024 #PrabowoGibran2024 #GanjarMahfud2024";0;0;0;0;in;1617631330778374155;1745228474250383712;fahrikhalid98;https://twitter.com/fahrikhalid98/status/1745228474250383712
Wed Jan 10 20:03:31 +0000 2024;1745174551510868035;"#IKN madunya dinikmati swasta (yg pernah bermasalah) dan kalau muncul masalah maka negara yg akan menanggulangi. Woooww 🤐 https://t.co/lG3MAf8eaM";0;0;0;0;in;1706458119860285440;1745174551510868035;TotoSuhendra73;https://twitter.com/TotoSuhendra73/status/1745174551510868035
Wed Jan 10 13:13:24 +0000 2024;1745071341899071832;"Kenapa di IKN sanap tengab   #ikn";0;0;0;0;in;1716197250;1745071341899071832;gratispromotee;https://twitter.com/gratispromotee/status/1745071341899071832
Wed Jan 10 11:04:05 +0000 2024;1745038799124808010;"Semoga dengan benih yang kita tanam menjadikannya pohon-pohon kebahagaiaan, keberlanjutan dan keindahan ya Sobat.  #KotaDuniauntukSemua #Nusantara #IbuKotaNegara #IKN #Indonesia";0;1;0;0;in;1455419498018656256;1745038796662722597;ikn_id;https://twitter.com/ikn_id/status/1745038799124808010
Wed Jan 10 09:11:06 +0000 2024;1745010364356669602;"Dampak positif akan dirasakan oleh banyak pihak berkat adanya pembangunan IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/L8RAlQj7K0";1;0;0;1;in;1564445082866323456;1745010349663981811;BertaniKodok;https://twitter.com/BertaniKodok/status/1745010364356669602
Wed Jan 10 09:11:05 +0000 2024;1745010361374515325;"Transportasi ramah lingkungna akan jadi kendaraan mobilitas di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/Gw39Sr3LwE";0;1;0;1;in;1564445082866323456;1745010349663981811;BertaniKodok;https://twitter.com/BertaniKodok/status/1745010361374515325
Wed Jan 10 09:11:04 +0000 2024;1745010358115541304;"Ini alasan urgensi pemindahan IKN Nusantara untuk pemerataan pembangunan #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/aIQW17FUuS";0;1;0;0;in;1564445082866323456;1745010349663981811;BertaniKodok;https://twitter.com/BertaniKodok/status/1745010358115541304
Wed Jan 10 09:11:03 +0000 2024;1745010354474844311;"Optimis tercapai pindah ibu kota negara pada tahun 2024 #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/TNLnQYpoEm";0;1;0;0;in;1564445082866323456;1745010349663981811;BertaniKodok;https://twitter.com/BertaniKodok/status/1745010354474844311
Wed Jan 10 09:11:02 +0000 2024;1745010349663981811;"Upaya Pemerintah dalam memperkuat pertanian di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/Zc52XzxHDv";0;1;0;0;in;1564445082866323456;1745010349663981811;BertaniKodok;https://twitter.com/BertaniKodok/status/1745010349663981811
Wed Jan 10 07:43:51 +0000 2024;1744988408920125737;"2. #SobatSetneg penasaran gak sih, apa saja tahapan pembangunan IKN dalam 20 tahun mendatang? Simak selengkapnya dalam infografik berikut, yuk! 😍  #KemensetnegRI #IKN #Nusantara https://t.co/WrpbbmdD1S";0;1;0;2;in;3522129133;1744988392549711963;KemensetnegRI;https://twitter.com/KemensetnegRI/status/1744988408920125737
Wed Jan 10 06:24:17 +0000 2024;1744968383546921449;"@abangbelneg Ibu Kota Nusantara Langkah Strategis untuk Mengembangkan Indonesia di Masa Depan #IKN";0;0;0;0;in;1668846772448538627;1744892206878797976;ikarubiasy;https://twitter.com/ikarubiasy/status/1744968383546921449
Wed Jan 10 04:19:58 +0000 2024;1744937098808086982;"kota hijau adalah impian untuk kehidupan masyarakat yang lebih baik #ikn #ibukotanisantara https://t.co/vOCnF1cuVS";0;0;0;0;in;152916108;1744937098808086982;mimstash;https://twitter.com/mimstash/status/1744937098808086982
Wed Jan 10 00:39:00 +0000 2024;1744881490024923249;"Persiapan Upacara 17 Agustus di IKN Nusantara Mulai Dibahas, Paskibra sudah Terbentuk Maret  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #17Agustus  https://t.co/jX6W8eWIe1 lewat @tribunkaltim";0;0;1;0;in;103551225;1744881490024923249;tribunkaltim;https://twitter.com/tribunkaltim/status/1744881490024923249
Tue Jan 09 17:54:16 +0000 2024;1744779637908283750;"Permen rasa coklat penambah stamina. Melayani indonesia  #Permen #Soloco #jogja #iran Bayar Anies Penasaran #PrincessofWales #jogjalendir #wisatajogja #jogjaincluderoom #jogjaopenBO #jogjacrot #ikn #rabu #yogyakarta https://t.co/kTdxTYxz9H";0;0;0;1;in;1573272252765769729;1744779637908283750;TokoZeyuan;https://twitter.com/TokoZeyuan/status/1744779637908283750
