created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 20 10:56:27 +0000 2024;1748660757175423004;gila Bang Ara ternyata maneuvernya kurang rapih. Main dulu kek kemana WKWKKW cari investor buat IKN, misal. Aguan, kawanmu itu aja main rapi netral ga kmn2, sibuk cari cuan. Kan skrg Bang Ara bisnismen bgt.;0;0;0;0;in;1314487883261112320;1748660757175423004;miskochak;https://twitter.com/miskochak/status/1748660757175423004
Sat Jan 20 10:49:41 +0000 2024;1748659052606062736;Ketemu Prabowo, Panglima Jilah Titip Pesan soal IKN hingga Menteri https://t.co/YDnBwKfE2S;0;2;0;7;in;17128975;1748659052606062736;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1748659052606062736
Sat Jan 20 10:45:01 +0000 2024;1748657879526298020;Badan Otorita IKN Umumkan Daftar Pemenang Kompetisi Karya Jurnalis IKN  https://t.co/M05FkoSBvC;0;0;0;0;in;202559038;1748657879526298020;GATRA_com;https://twitter.com/GATRA_com/status/1748657879526298020
Sat Jan 20 10:43:14 +0000 2024;1748657432178696550;@Jayabay19479190 Hahaha......pemersatu proyek IKN;0;0;0;0;in;1728722591362482176;1748591927421984832;AbiebSyah087021;https://twitter.com/AbiebSyah087021/status/1748657432178696550
Sat Jan 20 10:39:29 +0000 2024;1748656487306527135;@princepjwo Aku agak jauh sih kalo ke IKN dari rumahku sekitar 2 jam😂;0;0;0;0;in;1547223290149687297;1748646473603101077;asayoscloud;https://twitter.com/asayoscloud/status/1748656487306527135
Sat Jan 20 10:38:17 +0000 2024;1748656185673396483;@fadlizon Kapasitas HKTI apa? kok dukung IKN.;0;0;0;0;in;1471825215197900800;1748342251414056989;AnselmusPadu1;https://twitter.com/AnselmusPadu1/status/1748656185673396483
Sat Jan 20 10:31:22 +0000 2024;1748654443204317448;@DedynurPalakka IKN salah satu nawacita PDIP;0;0;0;0;in;70669168;1748541354513469677;decarlieracing;https://twitter.com/decarlieracing/status/1748654443204317448
Sat Jan 20 10:27:37 +0000 2024;1748653501004271787;@Muhammad_Saewad Mulai dari sikap tolak pemindahan ikn, tolak kenaikan pajak motor, revisi uu ite. Baru saya pertimbangkan permintaannya;0;0;0;3;in;917274160266539008;1748586822765060349;nganciro;https://twitter.com/nganciro/status/1748653501004271787
Sat Jan 20 10:27:35 +0000 2024;1748653490011082760;Memorial Park IKN sebagai Penghormatan bagi Pahlawan dan Pendiri Bangsa  #IKNNusantara https://t.co/W8J1jA9Z7j;0;0;0;1;in;1564436564855234560;1748653490011082760;kharism79;https://twitter.com/kharism79/status/1748653490011082760
Sat Jan 20 10:26:43 +0000 2024;1748653274851639511;Istana Presiden di IKN Bisa Berfungsi Mulai Juni 2024  #IKNNusantara https://t.co/N0wi60BRyL;0;0;0;1;in;1564436564855234560;1748653274851639511;kharism79;https://twitter.com/kharism79/status/1748653274851639511
